SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-003.jpg,12.76,2013:12:17 21:19:29,2024:03:29 17:43:03,NIKON CORPORATION,NIKON D7000,1/125,3.2,8.91 m,Multi-segment,"Off, Did not fire",40.0 mm,Manual,60 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-017.jpg,12.76,2013:12:17 21:48:09,2024:03:29 17:43:11,NIKON CORPORATION,NIKON D7000,1/200,2.8,1.88 m,Multi-segment,"Off, Did not fire",40.0 mm,Manual,60 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-016.jpg,12.76,2013:12:17 21:33:30,2024:03:29 17:43:11,NIKON CORPORATION,NIKON D7000,1/100,3.2,10.59 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-002.jpg,12.76,2013:12:17 21:18:47,2024:03:29 17:43:03,NIKON CORPORATION,NIKON D7000,1/100,3.2,5.31 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-001.jpg,12.76,2013:12:17 21:18:42,2024:03:29 17:43:03,NIKON CORPORATION,NIKON D7000,1/100,3.2,2.24 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-015.jpg,12.76,2013:12:17 21:31:32,2024:03:29 17:43:09,NIKON CORPORATION,NIKON D7000,1/100,3.2,10.59 m,Multi-segment,"Off, Did not fire",32.0 mm,Manual,48 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-011.jpg,12.76,2013:12:17 21:24:00,2024:03:29 17:43:06,NIKON CORPORATION,NIKON D7000,1/100,2.8,3.76 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-005.jpg,12.76,2013:12:17 21:21:04,2024:03:29 17:43:03,NIKON CORPORATION,NIKON D7000,1/100,2.8,1.88 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-004.jpg,12.76,2013:12:17 21:20:21,2024:03:29 17:43:03,NIKON CORPORATION,NIKON D7000,1/100,2.8,1.58 m,Multi-segment,"Off, Did not fire",17.0 mm,Manual,25 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/music/images/2013/20131217-sick-puppies/20131217-devour-the-day-010.jpg,12.76,2013:12:17 21:23:51,2024:03:29 17:43:05,NIKON CORPORATION,NIKON D7000,1/100,2.8,5.31 m,Multi-segment,"Off, Did not fire",32.0 mm,Manual,48 mm,17-50mm f/2.8,,,Ross Harried,,©2013 Ross Harried,,Ross Harried
