SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-023.jpg,12.76,2022:11:04 20:44:08,2022:11:05 07:29:25,SONY,ILCE-1,1/1250,2.8,76.42 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-022.jpg,12.76,2022:11:04 20:35:40,2022:11:05 07:29:22,SONY,ILCE-1,1/1250,2.8,34.7 m,Multi-segment,"Off, Did not fire",269.0 mm,Manual,269 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-008.jpg,12.76,2022:11:04 19:28:01,2022:11:05 07:27:52,SONY,ILCE-1,1/1250,2.8,19.29 m,Multi-segment,"Off, Did not fire",220.0 mm,Manual,220 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-020.jpg,12.76,2022:11:04 20:17:13,2022:11:05 07:29:15,SONY,ILCE-1,1/1250,2.8,12.7 m,Multi-segment,"Off, Did not fire",133.0 mm,Manual,133 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-021.jpg,12.76,2022:11:04 20:17:45,2022:11:05 07:29:17,SONY,ILCE-1,1/1250,2.8,24.14 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-009.jpg,12.76,2022:11:04 19:28:32,2022:11:05 07:27:52,SONY,ILCE-1,1/1250,2.8,20.6 m,Multi-segment,"Off, Did not fire",235.0 mm,Manual,235 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-019.jpg,12.76,2022:11:04 20:17:09,2022:11:05 07:29:12,SONY,ILCE-1,1/1250,2.8,13.86 m,Multi-segment,"Off, Did not fire",139.0 mm,Manual,139 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-018.jpg,12.76,2022:11:04 20:17:03,2022:11:05 07:29:09,SONY,ILCE-1,1/1250,2.8,6.58 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-016.jpg,12.76,2022:11:04 19:47:10,2022:11:05 07:28:47,SONY,ILCE-1,1/1250,2.8,5.1 m,Multi-segment,"Off, Did not fire",120.0 mm,Manual,120 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221104-playoffs3/20221104-playoffs3-002.jpg,12.76,2022:11:04 19:07:59,2022:11:05 07:27:29,SONY,ILCE-1,1/1250,2.8,49.6 m,Multi-segment,"Off, Did not fire",193.0 mm,Manual,193 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
